term_code,class_nbr,instructor_id_number
6,9460,2696
6,9611,2112
6,9612,2218
6,11093,3209
6,11685,2680
6,11958,119
6,11959,2776
6,14107,3075
6,14391,119
6,14553,1886
6,14983,2680
