student_id_number,term_code,class_nbr,completed_flag,official_grade,acad_plan,hours_carried
54440,4,4976,0,DROP,BS2127,16
54440,5,6720,0,DROP,BA2129,15
54440,5,6616,1,C,BA2129,15
54442,3,6262,1,A-,BS2127,16
54454,4,4974,1,C-,BS2127,15
54454,4,5937,1,A-,BS2127,15
54454,4,5125,0,DROP,BS2127,15
54454,3,6515,1,B,BS3314,16
54455,4,11041,1,B+,BC5372,15
54460,3,6612,1,B-,ND1206,15
54461,3,6112,1,B-,BS6306,17
54463,3,5062,1,A,ND0910,16
54463,3,5169,0,DROP,ND0910,16
54655,3,6086,1,A,ND8835,17
54655,3,6509,1,B+,ND8835,17
54656,3,6082,1,A,BS6361,16
54657,3,5061,1,A,BS7257,15
54657,3,5163,0,DROP,BS7257,15
54659,3,6072,1,A-,ND1220,15
54660,4,4974,1,D-,BS2507,18
54660,4,5125,0,DROP,BS2507,18
54660,4,6267,1,B+,BS2507,18
54660,5,6716,0,DROP,BS8122,19
54660,5,6623,1,C-,BS8122,19
54660,5,7520,1,A,BS8122,19
54661,3,6516,1,D,ND1206,15
54661,3,6125,1,B-,ND1206,15
54661,4,6267,1,C,ND1206,16
54662,4,5952,1,A-,BB6127,18
54663,3,6262,1,A,ND1220,16
54664,4,4974,0,F,BS3314,15
54664,4,5937,0,FS,BS3314,15
54664,4,5125,0,DROP,BS3314,15
54664,3,6505,1,B-,BS3314,16
54665,3,5061,1,A,BS7257,16
54665,3,5165,0,DROP,BS7257,16
54678,4,5910,1,D+,BA5050,15
54681,3,6114,1,C,BA4101,16
54684,3,6076,1,B+,BA4101,15
54684,3,6517,1,C+,BA4101,15
84601,6,5945,1,S,ND1206,15
54685,4,5922,1,B,BS7260,15.5
54687,3,6107,1,C-,ND1112,18
54691,5,7520,1,A-,BA4203,16
54693,4,11045,1,A,BS7253,15
54700,3,6505,1,B,BS8167,17
54701,3,5062,1,A,BS2121,15
54701,3,5168,0,DROP,BS2121,15
54702,3,6093,1,A,ND5368,15
54705,3,6124,1,A,ND1206,16
54707,4,5934,1,B+,ND8837,16
54709,4,5947,1,B+,BS6468,15
54712,4,5936,1,A,BS8167,18
54713,4,4975,1,C,BS8171,19
54713,4,5913,1,C,BS8171,19
54713,4,5092,0,DROP,BS8171,19
54713,3,6613,1,B-,BS8171,15
54714,3,6509,1,B-,ND0610,17
54901,4,5917,1,A-,BS8167,18
69069,5,7974,1,B,ND1206,16
54902,3,6510,1,B,BS6470,17
54903,3,6515,1,B,BS2127,15
54903,4,5913,1,C,BS2127,16
54903,4,4975,1,C+,BS2127,16
54903,4,5091,0,DROP,BS2127,16
54904,3,6103,1,A,ND1201,16
54905,4,4974,1,A-,BS3310,18
54905,4,4977,0,DROP,BS3310,18
54906,4,4974,1,C,BS3314,19
54906,4,4976,0,DROP,BS3314,19
54907,3,6111,1,A,ND1206,16
54907,3,6507,1,B-,ND1206,16
54908,4,5906,1,A-,BA4253,15
54909,3,5061,1,C,ND0910,17
54909,3,5163,0,DROP,ND0910,17
54909,4,11049,1,B,ND0910,13
54910,3,6518,1,B-,BB6125,17
54911,3,6135,1,A,BA5194,16
54915,3,6124,1,A,ND1206,17
54916,3,6087,1,D,ND1206,15
54922,3,6116,1,A,ND1206,15
54924,4,5936,1,B+,BS2127,15
54924,4,5144,0,DROP,BS2127,15
54924,4,4975,1,D-,BS2127,15
54925,4,14959,1,A,BS6179,16
54928,4,5930,1,A,BS6923,18
54929,4,4974,0,WP,BS7252,14
54929,4,5125,0,DROP,BS7252,14
54937,4,5933,1,B-,BS8167,19
54939,4,5938,0,WF,BS3101,17
54939,5,10542,1,B+,BS3101,16
54940,5,10542,1,A-,BS2522,15
54940,3,5064,0,DROP,BS2522,15
54940,3,5060,1,A,BS2522,15
54941,4,5906,1,A,ND8837,13
54942,3,5062,1,A,BS2121,15
54942,3,5167,0,DROP,BS2121,15
54943,4,5931,1,A,BS7260,15.5
54944,4,5906,1,A,BB6121,16
54946,4,5950,1,A,BS6175,15
54947,4,5946,1,A,ND8837,16
54948,3,5061,0,WP,BS7255,18
54948,3,5163,0,DROP,BS7255,18
54951,3,5061,1,B,BS2121,15
54951,3,5164,0,DROP,BS2121,15
54951,5,7519,1,C,BS2121,15
54952,3,9889,1,B+,ND1206,15
54952,3,6119,1,B+,ND1206,15
54953,3,6124,1,A,ND1206,15
54955,4,11038,1,B,BA4253,16
54956,4,5949,1,A,BS5327,17
55141,3,6267,1,C,BA5232,19
55141,3,6505,1,B-,BA5232,19
55142,4,11045,1,A,BS3300,15
55143,3,6079,1,A,ND0210,16
55145,3,6114,1,A,BA4101,15
55145,6,5805,1,A-,BA4101,16
55146,3,6111,1,B+,ND1206,15
55146,3,6507,0,WP,ND1206,15
55147,3,6107,1,C-,ND1220,19
55148,4,5923,1,B+,BA4203,15
55150,4,4974,1,B+,BS8171,14
55150,4,5143,0,DROP,BS8171,14
55150,3,6268,1,A,BS8171,16
82861,4,5903,1,A-,ND1201,16
55155,3,6518,1,A,ND1105,15
55156,4,5916,1,B,BA4253,16
55157,3,6116,1,A,ND1206,16
55159,3,9888,1,B,BB6125,17
55161,3,6109,1,A,ND1206,15
55165,3,6070,1,A,ND1206,15
55165,3,6507,1,C,ND1206,15
55166,3,6517,1,C,BS7269,15.5
55168,4,5949,1,A,BC5363,17
55170,5,7539,1,A,BJ6906,16
55172,4,5925,1,A-,BS8167,15
82862,4,14959,1,B,ND1206,18
55173,4,11045,1,B+,BB6121,16
55175,4,4975,1,C-,ND1105,18
55175,3,6089,1,A-,ND1105,15
55175,4,5091,0,DROP,ND1105,18
55176,3,6093,0,WP,BS7256,16.5
55176,4,11047,1,B-,BS7256,17
91426,2,8287,1,C+,ND1206,15
91426,2,9447,1,A-,ND1206,15
55179,3,9887,1,A,ND8835,17
55179,3,6082,1,A,ND8835,17
55180,3,6085,1,A,ND0210,16
55181,3,6084,1,A,BS8122,15
55181,3,6517,1,B+,BS8122,15
55182,4,11039,1,A,BA5194,15
55182,6,5945,0,WP,BA5194,17
55184,4,4974,1,C+,BS2520,15
55184,4,5935,1,A,BS2520,15
55184,4,5125,0,DROP,BS2520,15
55185,3,5061,1,A-,BS2127,15
55185,3,5164,0,DROP,BS2127,15
55187,3,6094,1,A,BS7269,17
55188,4,5938,1,B,BS7252,11
55189,3,6109,1,A,ND1220,14
55190,3,5064,0,DROP,BS2126,16
55190,3,5060,1,A,BS2126,16
55192,4,4975,1,A-,BS6474,16
55192,4,5126,0,DROP,BS6474,16
55194,4,5945,0,WF,BA4201,16
55379,3,6262,1,C+,ND1206,16
55379,3,6612,0,F,ND1206,16
55381,4,5945,1,B+,BS8167,18
55382,4,5907,1,B-,BS8167,15
68185,5,7545,1,B,BS7269,16
55383,4,5945,1,A,BA5232,16
55386,3,5063,0,DROP,BS2127,15
55386,4,5923,1,A-,BS2127,15
55386,3,5060,1,A,BS2127,15
55392,4,5941,1,A,BJ6907,15
55393,4,5953,1,A,ND8837,16
55394,5,7520,1,B+,BA4201,16
55395,3,9889,1,A-,BS8119,16
55396,3,6510,1,B,BA4101,15
55396,4,5923,1,B,BA4101,17
55397,4,5944,1,A,BB6137,15
55398,3,6119,1,A,ND1220,15
55400,3,6112,1,A-,BS6306,16
55401,5,7539,1,A,BA4412,19
55402,3,6262,1,A-,BA5241,16
55404,6,4646,1,B-,BS8122,15
55404,4,5944,1,A,BS8122,17
55404,6,4813,0,DROP,BS8122,15
55404,3,6612,1,B+,BS8122,16
55406,3,6095,1,A,ND1220,15
55408,3,6098,1,A,BS6306,16
55408,4,6271,1,B-,BS6306,16
55409,3,6119,1,B,BA4101,15
55411,3,6111,1,A,ND1206,15
55411,3,6507,1,B-,ND1206,15
84216,2,9447,1,A-,ND1208,16
84216,3,6515,0,FS,ND1208,16
55416,5,7873,1,B+,BS2121,17
55416,6,4761,0,DROP,BS2121,19
55416,6,4646,1,A-,BS2121,19
55419,3,6100,1,A,ND1220,15
55420,4,5126,0,DROP,BS3310,14
55420,4,4975,1,A,BS3310,14
82864,4,10902,1,C,ND1206,15
55424,4,4974,1,A-,BS3313,16
55424,4,4977,0,DROP,BS3313,16
55425,3,6075,1,A,ND1201,16
55425,6,4813,0,DROP,BS2522,17
55425,6,4646,1,S,BS2522,17
55425,4,6276,1,B+,ND1201,16
55427,5,7549,1,B,ND1201,18
55428,4,10915,1,A-,ND0410,16
55428,3,9887,0,WP,ND0410,16
55428,4,5922,1,B,ND0410,16
55429,3,6086,1,C,BC5363,16
55430,4,5953,1,B+,BS6925,12
55430,6,5805,1,S,BS6925,8
55431,3,6513,0,WP,BB6127,19
55432,4,5939,1,A,BB6127,12
55433,4,11052,1,B-,BF5154,19
55433,4,10915,1,B+,BF5154,19
55434,6,4646,0,WP,BS8100,16
55434,4,5937,1,B,BS2127,14
55434,6,4762,0,DROP,BS8100,16
55436,6,5805,1,A-,BC5363,13
55436,3,6251,1,A,BC5363,16
55601,3,6097,1,A-,ND1220,15
55602,4,5940,1,A,BS7257,19.5
55602,4,4974,1,C,BS7257,19.5
55602,4,4976,0,DROP,BS7257,19.5
55602,3,6519,1,A,BS7257,16
55604,4,11040,1,A-,BA5050,17
55604,5,7873,1,B-,BA5050,16
55605,3,6121,1,B-,BA5232,16
55606,4,5952,1,A-,ND1201,15
55607,4,5900,1,B+,BS6922,19
55608,3,5166,0,DROP,BS2522,15
55608,3,5061,1,B,BS2522,15
55608,3,6251,1,B,BS2522,15
